adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950123-09-025178	1113169	PRICE T ROWE GROUP INC	6200	US	MD	BALTIMORE	21289-0320	100 EAST PRATT STREET	P.O. BOX 89000	4103452000	US	MD	BALTIMORE	21289-0320	100 EAST PRATT STREET	P.O. BOX 89000	US	MD	522264646			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090724	2009-07-24 12:36:00.0	0	1	trow-20090630.xml	1	
0000950123-09-025362	310158	SCHERING PLOUGH CORP	2834	US	NJ	KENILWORTH	07033	2000 GALLOPING HILL ROAD		9082984000	US	NJ	KENILWORTH	07033	2000 GALLOPING HILL ROAD		US	NJ	221918501			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090724	2009-07-24 16:45:00.0	0	0	sgp-20090630.xml	1	
0000950123-09-025764	30554	DUPONT E I DE NEMOURS & CO	2820	US	DE	WILMINGTON	19898	1007 MARKET ST		3027741000	US	DE	WILMINGTON	19898	1007 MARKET ST		US	DE	510014090			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090727	2009-07-27 16:41:00.0	0	0	dd-20090630.xml	1	
0000950123-09-026374	927653	MCKESSON CORP	5122	US	CA	SAN FRANCISCO	94104	ONE POST ST	MCKESSON PLAZA	4159838300	US	CA	SAN FRANCISCO	94104	ONE POST ST		US	DE	943207296	MCKESSON HBOC INC	19990115	1-LAF	1	0331	10-Q	20090630	2009	Q1	20090728	2009-07-28 16:45:00.0	0	0	mck-20090630.xml	1	
0000950123-09-026402	10456	BAXTER INTERNATIONAL INC	3841	US	IL	DEERFIELD	60015	ONE BAXTER PKWY	DF2-1W	8479482000	US	IL	DEERFIELD	60015	ONE BAXTER PARKWAY	DF2-1W	US	DE	360781620	BAXTER TRAVENOL LABORATORIES INC	19880522	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090728	2009-07-28 17:12:00.0	0	0	bax-20090630.xml	1	
0000950123-09-026632	1105705	TIME WARNER INC.	7812	US	NY	NEW YORK	10019	ONE TIME WARNER CENTER		2124848000	US	NY	NEW YORK	10019	ONE TIME WARNER CENTER		US	DE	134099534	TIME WARNER INC	20031015	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 07:11:00.0	0	0	twx-20090630.xml	1	
0000950123-09-026820	949039	DIAMOND OFFSHORE DRILLING INC	1381	US	TX	HOUSTON	77094	15415 KATY FREEWAY		7134925300	US	TX	HOUSTON	77094	15415 KATY FREEWAY		US	DE	760321760			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 13:21:00.0	0	0	do-20090630.xml	1	
0000950123-09-026861	64040	MCGRAW-HILL COMPANIES INC	2731	US	NY	NEW YORK	10020	1221 AVENUE OF THE AMERICAS		2125122000	US	NY	NEW YORK	10020	1221 AVENUE OF THE AMERICAS		US	NY	131026995	MCGRAW HILL INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 14:20:00.0	0	0	mhp-20090630.xml	1	
0000950123-09-026905	95521	SUPERVALU INC	5411	US	MN	EDEN PRAIRIE	55344	11840 VALLEY VIEW RD		9528284000	US	MN	EDEN PRAIRIE	55344	11840 VALLEY VIEW ROAD		US	DE	410617000	SUPER VALU STORES INC	19920703	1-LAF	1	0228	10-Q	20090630	2009	Q2	20090729	2009-07-29 15:10:00.0	0	0	svu-20090620.xml	1	
0000950123-09-026987	30625	FLOWSERVE CORP	3561	US	TX	IRVING	75039	5215 N. O'CONNOR BLVD.	SUITE 2300	9724436500	US	TX	IRVING	75039	5215 N. O'CONNOR BLVD.	SUITE 2300	US	NY	310267900	DURCO INTERNATIONAL INC	19970508	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 16:21:00.0	0	0	fls-20090630.xml	1	
0000950123-09-027003	908255	BORGWARNER INC	3714	US	MI	AUBURN HILLS	48326	3850 HAMLIN RD.		2487549200	US	MI	AUBURN HILLS	48326	3850 HAMLIN RD.		US	DE	133404508	BORG WARNER AUTOMOTIVE INC	19930628	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 16:28:00.0	0	0	bwa-20090630.xml	1	
0000950123-09-027011	1170650	MEDCO HEALTH SOLUTIONS INC	5912	US	NJ	FRANKLIN LAKES	07417	100 PARSONS POND DR		2012693400	US	NJ	FRANKLIN LAKES	07417	100 PARSONS POND DR		US	DE	223461740	MEDCOHEALTH SOLUTIONS INC	20020528	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 16:34:00.0	0	0	mhs-20090627.xml	1	
0000950123-09-027072	1306830	CELANESE CORP	2820	US	TX	DALLAS	75234	1601 W. LBJ FREEWAY		972-443-4000	US	TX	DALLAS	75234	1601 W. LBJ FREEWAY		US	DE	980420726	BLACKSTONE CRYSTAL HOLDINGS CAPITAL PARTNERS (CAYMAN) IV LTD.	20041022	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090729	2009-07-29 17:14:00.0	0	0	ce-20090630.xml	1	
0000950123-09-027154	39899	GANNETT CO INC /DE/	2711	US	VA	MCLEAN	22107-0910	7950 JONES BRANCH DRIVE		7038546000	US	VA	MCLEAN	22107-0910	7950 JONES BRANCH DRIVE		US	DE	160442930			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-29 19:35:00.0	0	0	gci-20090628.xml	1	
0000950123-09-027482	823768	WASTE MANAGEMENT INC	4953	US	TX	HOUSTON	77002	1001 FANNIN STREET	STE 4000	7135126200	US	TX	HOUSTON	77002	1001 FANNIN STREET	SUITE 4000	US	DE	731309529	USA WASTE SERVICES INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 12:00:00.0	0	0	wmi-20090630.xml	1	
0000950123-09-027485	1424847	LORILLARD, INC.	2111	US	NC	GREENSBORO	27408	714 GREEN VALLEY ROAD		336.335.7000	US	NC	GREENSBORO	27408	714 GREEN VALLEY ROAD		US	DE	131911176			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 12:03:00.0	0	0	lo-20090630.xml	1	
0000950123-09-027630	54480	KANSAS CITY SOUTHERN	4011	US	MO	KANSAS CITY	64105	427 W 12TH STREET		8169831303	US	MO	KANSAS CITY	64121	PO BOX 219335		US	DE	440663509	KANSAS CITY SOUTHERN INDUSTRIES INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 15:39:00.0	0	0	ksu-20090630.xml	1	
0000950123-09-027684	356028	CA, INC.	7372	US	NY	ISLANDIA	11749	ONE CA PLAZA		6313423550	US	NY	ISLANDIA	11749	ONE CA PLAZA		US	DE	132857434	COMPUTER ASSOCIATES INTERNATIONAL INC	19920703	1-LAF	1	0331	10-Q/A	20090630	2009	Q1	20090730	2009-07-30 16:18:00.0	0	0	ca-20090630.xml	1	
0000950123-09-027787	701221	CIGNA CORP	6324	US	PA	PHILADELPHIA	19192-1550	ONE LIBERTY PLACE	1601 CHESTNUT STREET	2157611000	US	PA	PHILADELPHIA	19192	TWO LIBERTY PLACE 48TH FLOOR	1601 CHESTNUT STREET	US	DE	061059331			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 17:11:00.0	0	0	ci-20090630.xml	1	
0000950123-09-028069	1275283	REYNOLDS AMERICAN INC	2111	US	NC	WINSTON SALEM	27102	401 NORTH MAIN ST		3367412000	US	NC	WINSTON SALEM	27102	401 NORTH MAIN ST				200546644			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 08:54:00.0	0	0	rai-20090630.xml	1	
0000950123-09-028093	89800	SHERWIN WILLIAMS CO	5200	US	OH	CLEVELAND	44115	101 PROSPECT AVE NW		2165662200							US	OH	340526850			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 10:08:00.0	0	0	shw-20090630.xml	1	
0000950123-09-028099	59478	LILLY ELI & CO	2834	US	IN	INDIANAPOLIS	46285	LILLY CORPORATE CTR	DROP CODE 1112	3172762000	US	IN	INDIANAPOLIS	46285	LILLY CORPORATE CENTER	DROP CODE 1112	US	IN	350470950			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 10:23:00.0	0	0	lly-20090630.xml	1	
0000950123-09-028100	914208	INVESCO LTD.	6282	US	GA	ATLANTA	30309	1555 PEACHTREE STREET NE	SUITE 1800	404-892-0896	US	GA	ATLANTA	30309	1555 PEACHTREE STREET NE	SUITE 1800	BM		980557567	INVESCO LTD	20080508	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 10:24:00.0	0	0	ivz-20090630.xml	1	
0000950123-09-028388	816284	CELGENE CORP /DE/	2834	US	NJ	SUMMIT	07901	86 MORRIS AVENUE		(908)673-900	US	NJ	SUMMIT	07901	86 MORRIS AVENUE		US	DE	222711928			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 16:23:00.0	0	0	celg-20090630.xml	1	
0000950123-09-028453	1163739	NABORS INDUSTRIES LTD	1381	BM		HAMILTON, HM08	0000	MINTFLOWER PLACE	8 PAR-LA-VILLE ROAD	2464219471	BM		HAMILTON, HMPX	0000	P O BOX HM3349		BM		980363970			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 17:18:00.0	0	1	nbr-20090630.xml	1	
0000950123-09-028634	64978	MERCK & CO INC	2834	US	NJ	WHITEHOUSE STATION	08889-0100	ONE MERCK DR	P O BOX 100	9084231688	US	NJ	WHITEHOUSE STATION	08889-0100	ONE MERCK DR	PO BOX 100 WS3AB-05	US	NJ	221109110			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 07:37:00.0	0	0	mrk-20090630.xml	1	
0000950123-09-028717	1126294	RRI ENERGY INC	4911	US	TX	HOUSTON	77002	1000 MAIN STREET		713-497-3000	US	TX	HOUSTON	77002	1000 MAIN STREET		US	DE	760655566	RELIANT ENERGY INC	20040423	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 11:02:00.0	0	0	rri-20090630.xml	1	
0000950123-09-028851	216228	ITT CORP	3561	US	NY	WHITE PLAINS	10604	1133 WESTCHESTER AVENUE		9146412000	US	NY	WHITE PLAINS	10604	1133 WESTCHESTER AVENUE		US	IN	135158950	ITT INDUSTRIES INC	19951220	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 15:10:00.0	0	0	itt-20090630.xml	1	
0000950123-09-028880	53669	JOHNSON CONTROLS INC	2531	US	WI	MILWAUKEE	53201	5757 N GREEN BAY AVENUE	P O BOX 591	4145241200	US	WI	MILWAUKEE	53201	5757 N GREEN BAY AVENUE	P O BOX 591	US	WI	390380010			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090803	2009-08-03 15:40:00.0	0	0	jci-20090630.xml	1	
0000950123-09-028975	50863	INTEL CORP	3674	US	CA	SANTA CLARA	95054	2200 MISSION COLLEGE BLVD	RNB-4-151	4087658080	US	CA	SANTA CLARA	95054	2200 MISSION COLLEGE BLVD	RNB-4-151	US	DE	941672743			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 17:09:00.0	0	0	intc-20090627.xml	1	
0000950123-09-029190	1099219	METLIFE INC	6311	US	NY	NEW YORK	10036	1095 AVENUE OF AMERICAS		212-578-5500	US	NY	NEW YORK	10036	1095 AVENUE OF AMERICAS		US	DE	134075851			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 06:16:00.0	0	0	met-20090630.xml	1	
0000950123-09-029196	899881	PROLOGIS	6798	US	CO	DENVER	80239	4545 AIRPORT WAY		3033759292	US	CO	DENVER	80239	4545 AIRPORT WAY		US	MD	742604728	PROLOGIS TRUST	19980717	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 06:26:00.0	0	0	pld-20090630.xml	1	
0000950123-09-029288	889900	PATTERSON UTI ENERGY INC	1381	US	TX	SNYDER	79549	4510 LAMESA HWY	P O DRAWER 1416	9155731104	US	TX	SNYDER	79550	P O DRAWER 1416		US	DE	752504748	PATTERSON ENERGY INC	19940228	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 10:01:00.0	0	0	pten-20090630.xml	1	
0000950123-09-029309	1024478	ROCKWELL AUTOMATION INC	3829	US	WI	MILWAUKEE	53204	1201 SOUTH 2ND STREET		414-382-2000	US	WI	MILWAUKEE	53204	1201 SOUTH 2ND STREET		US	DE	251797617	ROCKWELL  AUTOMATION INC	20020507	1-LAF	1	0930	10-Q	20090630	2009	Q3	20090804	2009-08-04 10:40:00.0	0	0	rok-20090630.xml	1	
0000950123-09-029387	1022646	ULTRA PETROLEUM CORP	1311	US	TX	HOUSTON	77060	363 N SAM HOUSTON PARKWAY E	SUITE 1200	2818760120	US	TX	HOUSTON	77060	363 N SAM HOUSTON PARKWAY 3	SUITE 1200			000000000			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 12:44:00.0	0	0	upl-20090630.xml	1	
0000950123-09-029455	866374	FLEXTRONICS INTERNATIONAL LTD.	3672	SG		SINGAPORE	018989	ONE MARINA BOULEVARD, #28-00		(65) 6890 71	SG		SINGAPORE	018989	ONE MARINA BOULEVARD, #28-00		SG		000000000	FLEXTRONICS INTERNATIONAL LTD	19940318	1-LAF	1	0331	10-Q	20090630	2009	Q1	20090804	2009-08-04 14:15:00.0	0	0	flex-20090703.xml	1	
0000950123-09-029495	1056239	L 3 COMMUNICATIONS HOLDINGS INC	3663	US	NY	NEW YORK	10016	600 THIRD AVENUE	34TH FLOOR	2126971111	US	NY	NEW YORK	10016	600 THIRD AVENUE	34TH FLOOR	US	DE	133937434			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 14:56:00.0	0	0	lll-20090626.xml	2	1039101
0000950123-09-029565	13610	BOWNE & CO INC	2750	US	NY	NEW YORK	10041-0006	55 WATER STREET		2129245500	US	NY	NEW YORK	10041-0006	55 WATER STREET		US	DE	132618477			2-ACC	0	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 16:14:00.0	0	0	bne-20090630.xml	1	
0000950123-09-029613	1437107	DISCOVERY COMMUNICATIONS, INC.	4841	US	CO	ENGLEWOOD	80112	12300 LIBERTY BOULEVARD		(720) 875-40	US	CO	ENGLEWOOD	80112	12300 LIBERTY BOULEVARD		US	DE	352333914			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 16:42:00.0	0	0	disca-20090630.xml	1	
0000950123-09-029672	200406	JOHNSON & JOHNSON	2834	US	NJ	NEW BRUNSWICK	08933	ONE JOHNSON & JOHNSON PLZ		732-524-2455	US	NJ	NEW BRUNSWICK	08933	ONE JOHNSON & JOHNSON PLZ		US	NJ	221024240			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 17:12:00.0	0	0	jnj-20090628.xml	1	
0000950123-09-029675	31277	EATON CORP	3590	US	OH	CLEVELAND	44114-2584	EATON CTR	1111 SUPERIOR AVE	2165235000	US	OH	CLEVELAND	44114	1111 SUPERIOR AVENUE		US	OH	340196300	EATON YALE & TOWNE INC	19710822	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 17:13:00.0	0	0	etn-20090630.xml	1	
0000950123-09-029713	1163165	CONOCOPHILLIPS	2911	US	TX	HOUSTON	77079	CONOCOPHILLIPS	600 NORTH DAIRY ASHFORD ROAD	2812931000	US	TX	HOUSTON	77079	CONOCOPHILLIPS	600 NORTH DAIRY ASHFORD ROAD	US	DE	010562944	CORVETTEPORSCHE CORP	20011204	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 17:31:00.0	0	0	cop-20090630.xml	1	
0000950123-09-029843	829224	STARBUCKS CORP	5810	US	WA	SEATTLE	98124-1067	P O BOX 34067		2064471575	US	WA	SEATTLE	98134	2401 UTAH AVENUE SOUTH		US	WA	911325671			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090805	2009-08-04 21:39:00.0	0	0	sbux-20090628.xml	1	
0000950123-09-029919	886982	GOLDMAN SACHS GROUP INC	6211	US	NY	NEW YORK	10004	85 BROAD ST		2129021000	US	NY	NEW YORK	10004	85 BROAD ST		US	DE	134019460	GOLDMAN SACHS GROUP INC/	20010104	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 06:10:00.0	0	0	gs-20090626.xml	1	
0000950123-09-029921	1333141	FRESENIUS MEDICAL CARE AG & CO. KGAA	8090	DE		BAD HOMBURG	61352	ELSE-KROENER STRASSE 1		011-49-6172-	DE		BAD HOMBURG	61352	ELSE-KROENER STRASSE 1				000000000			1-LAF	1	1231	6-K	20090630	2009	Q2	20090805	2009-08-05 06:12:00.0	0	0	fms-20090630.xml	1	
0000950123-09-030200	1130385	FOSTER WHEELER AG	1600	US	NJ	CLINTON	08809	PERRYVILLE CORPORATE PARK	SERVICE ROAD EAST 173	9087304270	US	NJ	CLINTON	08809	PERRYVILLE CORPORATE PARK	SERVICE ROAD EAST 173	BM		223802649	FOSTER WHEELER LTD	20001221	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 14:27:00.0	0	0	fwlt-20090630.xml	1	
0000950123-09-030284	1174746	INTERCONTINENTALEXCHANGE INC	6200	US	GA	ATLANTA	30328	2100 RIVEREDGE PARKWAY	SUITE 500	7708574700	US	GA	ATLANTA	30328	2100 RIVEREDGE PARKWAY	SUITE 500			000000000			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090805	2009-08-05 16:13:00.0	0	0	ice-20090630.xml	1	
0000950123-09-030335	849399	SYMANTEC CORP	7372	US	CA	CUPERTINO	95014	20330 STEVENS CREEK BLVD		4082539600	US	CA	CUPERTINO	95014	20330 STEVENS CREEK BLVD		US	DE	770181864			1-LAF	1	0331	10-Q	20090630	2009	Q1	20090805	2009-08-05 16:37:00.0	0	0	symc-20090703.xml	1	
0000950123-09-030360	1032033	SLM CORP	6141	US	VA	RESTON	20190	12061 BLUEMONT WAY		7038103000	US	VA	RESTON	20190	12061 BLUEMONT WAY		US	DE	522013874	SALLIE MAE	20020517	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 16:57:00.0	0	0	slm-20090630.xml	1	
0000950123-09-030370	1396009	VULCAN MATERIALS CO	1400	US	AL	BIRMINGHAM	35242	1200 URBAN CENTER DRIVE		(205) 298-30	US	AL	BIRMINGHAM	35242	1200 URBAN CENTER DRIVE		US	NJ	208579133	VIRGINIA HOLDCO, INC.	20070409	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 17:02:00.0	0	0	vmc-20090630.xml	1	
0000950123-09-030389	1037016	NII HOLDINGS INC	4812	US	VA	RESTON	20191	10700 PARKRIDGE BLVD	SUITE 600	7034334000	US	VA	RESTON	20191	10700 PARKRIDGE BLVD	SUITE 600	US	DE	911671412	NEXTEL INTERNATIONAL INC	19970919	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 17:10:00.0	0	0	nihd-20090630.xml	1	
0000950123-09-030415	1037868	AMETEK INC/	3621	US	PA	PAOLI	19301	37 NORTH VALLEY RD.	BUILDING 4, POB 1764	6106472121	US	PA	PAOLI	19301	37 NORTH VALLEY RD.	BUILDING 4, POB 1764	US	DE	141682544	AMETEK AEROSPACE PRODUCTS INC	19970415	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 17:23:00.0	0	0	ame-20090630.xml	1	
0000950123-09-030426	1136893	FIDELITY NATIONAL INFORMATION SERVICES, INC.	7389	US	FL	JACKSONVILLE	32204	601 RIVERSIDE AVENUE		904-854-8547	US	FL	JACKSONVILLE	32204	601 RIVERSIDE AVENUE				371490331	CERTEGY INC	20010607	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 17:25:00.0	0	0	fis-20090630.xml	1	
0000950123-09-030790	1140859	AMERISOURCEBERGEN CORP	5122	US	PA	CHESTERBROOK	19087-5594	1300 MORRIS DRIVE		6107277000	US	PA	CHESTERBROOK	19087-5594	1300 MORRIS DRIVE		US	DE	233079390			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090806	2009-08-06 10:14:00.0	0	0	abc-20090630.xml	1	
0000950123-09-030860	93410	CHEVRON CORP	2911	US	CA	SAN RAMON	94583	6001 BOLLINGER CANYON ROAD		925-842-1000	US	CA	SAN RAMON	94583	6001 BOLLINGER CANYON ROAD		US	DE	940890210	CHEVRONTEXACO CORP	20011009	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 11:28:00.0	0	0	cvx-20090630.xml	1	
0000950123-09-030883	808362	BAKER HUGHES INC	3533	US	TX	HOUSTON	77019-2118	2929 ALLEN PARKWAY	SUITE 2100	7134398600	US	TX	HOUSTON	77210-4740	PO BOX 4740		US	DE	760207995			1-LAF	0	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 11:55:00.0	0	0	bhi-20090630.xml	1	
0000950123-09-030911	1141982	COOPER INDUSTRIES LTD	3640	US	TX	HOUSTON	77002-1001	600 TRAVIS	SUITE 5600	7132098400	US	TX	HOUSTON	77002-1001	600 TRAVIS	SUITE 5600			980355628			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 12:21:00.0	0	0	cbe-20090630.xml	1	
0000950123-09-030946	1090012	DEVON ENERGY CORP/DE	1311	US	OK	OKLAHOMA CITY	73102	20 N BROADWAY	STE 1500	4052353611	US	OK	OKLAHOMA CITY	73102	20 N BROADWAY	STE 1500	US	DE	731567067	DEVON DELAWARE CORP	19990707	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 12:55:00.0	0	0	dvn-20090630.xml	1	
0000950123-09-031054	40987	GENUINE PARTS CO	5013	US	GA	ATLANTA	30339	2999 CIRCLE 75 PARKWAY		4049531700	US	GA	ATLANTA	30339	2999 CIRCLE 75 PARKWAY		US	GA	580254510			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 14:35:00.0	0	0	gpc-20090630.xml	1	
0000950123-09-031164	1086195	ART TECHNOLOGY GROUP INC	7372	US	MA	CAMBRIDGE	02142	ONE MAIN STREET		617-386-1000	US	MA	CAMBRIDGE	02142	ONE MAIN STREET		US	DE	043141918			2-ACC	0	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:11:00.0	0	0	artg-20090630.xml	1	
0000950123-09-031199	316206	STARWOOD HOTEL & RESORTS WORLDWIDE INC	7011	US	NY	WHITE PLAINS	10604	1111 WESTCHESTER AVENUE		9146408100	US	AZ	PHOENIX	85016	2231 E CAMELBACK RD. 4TH FL	SUITE 4O0	US	MD	521193298	STARWOOD LODGING CORP	19950215	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:23:00.0	0	0	hot-20090630.xml	1	
0000950123-09-031224	1349436	SANDRIDGE ENERGY INC	1311	US	OK	OKLAHOMA CITY	73102-6406	123 ROBERT S. KERR AVENUE		405-429-5500	US	OK	OKLAHOMA CITY	73102-6406	123 ROBERT S. KERR AVENUE		US	DE	208084793	RIATA ENERGY INC	20060111	1-LAF	0	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:35:00.0	0	0	sd-20090630.xml	1	
0000950123-09-031281	885725	BOSTON SCIENTIFIC CORP	3841	US	MA	NATICK	01760-1537	ONE BOSTON SCIENTIFIC PL		5086508000							US	DE	042695240			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:56:00.0	0	0	bsx-20090630.xml	1	
0000950123-09-031364	310522	FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE	6111	US	DC	WASHINGTON	20016	3900 WISCONSIN AVE N.W.		202-752-7000	US	DC	WASHINGTON	20016	3900 WISCONSIN AVE N.W.				520883107	FEDERAL NATIONAL MORTGAGE ASSOCIATION	19950110	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 17:29:00.0	0	0	fnm-20090630.xml	1	
0000950123-09-031492	890801	MCAFEE, INC.	7372	US	CA	SANTA CLARA	95054	3965 FREEDOM CIRCLE		4089883832	US	CA	SANTA CLARA	95054	3965 FREEDOM CIRCLE		US	DE	770316593	NETWORKS ASSOCIATES INC/	19980611	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-06 21:37:00.0	0	0	mfe-20090630.xml	1	
0000950123-09-031596	1060391	REPUBLIC SERVICES, INC.	4953	US	AZ	PHOENIX	85054	18500 N. ALLIED WAY		480 627 2700	US	AZ	PHOENIX	85054	18500 N. ALLIED WAY		US	DE	650716904	REPUBLIC SERVICES INC	19980423	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 06:33:00.0	0	0	rsg-20090630.xml	1	
0000950123-09-031677	1000697	WATERS CORP /DE/	3826	US	MA	MILFORD	01757	34 MAPLE ST		5084782000	US	MA	MILFORD	01757	34 MAPLE STREET		US	DE	133668640	WCD INVESTORS INC /DE/	19960605	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 08:02:00.0	0	0	wat-20090704.xml	1	
0000950123-09-031774	96223	LEUCADIA NATIONAL CORP	2400	US	NY	NEW YORK	10010	315 PARK AVE S		2124601900	US	NY	NEW YORK	10010	315 PARK AVENUE SOUTH		US	NY	132615557	TALCOTT NATIONAL CORP	19800603	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 10:26:00.0	0	0	luk-20090630.xml	1	
0000950123-09-031817	1064728	PEABODY ENERGY CORP	1221	US	MO	ST LOUIS	63101-1826	701 MARKET ST		3143423400	US	MO	ST LOUIS	63101-1826	701 MARKET ST		US	DE	134004153	P&L COAL HOLDINGS CORP	19980623	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 11:38:00.0	0	0	btu-20090630.xml	1	
0000950123-09-031842	1037676	ARCH COAL INC	1221	US	MO	ST LOUIS	63141	CITY PLACE ONE STE 300	ARCH MINERAL CORP	3149942700	US	MO	CREVE COEUR	63141	CITYPLACE ONE SUITE 300	ARCH MINERAL CORP	US	DE	430921172	ARCH MINERAL CORP	19970411	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 12:06:00.0	0	0	aci-20090630.xml	1	
0000950123-09-031901	1035002	VALERO ENERGY CORP/TX	2911	US	TX	SAN ANTONIO	78269-6000	P.O. BOX 696000		2103452000	US	TX	SAN ANTONIO	78269-6000	P.O. BOX 696000		US	DE	741828067			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 13:16:00.0	0	0	vlo-20090630.xml	1	
0000950123-09-031993	921847	HUDSON CITY BANCORP INC	6036	US	NJ	PARAMUS	07652	WEST 80 CENTURY RD		2019671900	US	NJ	PARMUS	07652	WEST 80 CENTURY ROAD		US	DE	223640393			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 14:51:00.0	0	0	hcbk-20090630.xml	1	
0000950123-09-032022	1169055	NOBLE CORP	1381	US	TX	SUGAR LAND	77478	13135 S DAIRY ASHFORD		281 276 6100									980366361			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 15:15:00.0	0	0	ne-20090630.xml	2	1458891
